CMDLINE C:\Users\Dumba\miniconda3\envs\qua_anthill\python.exe ./main.py
MEM 1.988281 1705009970.2846
MEM 12.324219 1705009970.3945
MEM 17.046875 1705009970.5044
MEM 23.246094 1705009970.6143
MEM 24.074219 1705009970.7249
MEM 25.066406 1705009970.8329
MEM 27.042969 1705009970.9397
MEM 33.695312 1705009971.0475
MEM 37.492188 1705009971.1583
MEM 48.562500 1705009971.2674
MEM 48.792969 1705009971.3757
MEM 51.382812 1705009971.4847
MEM 55.726562 1705009971.5937
MEM 79.714844 1705009971.7059
MEM 79.714844 1705009971.8162
MEM 79.714844 1705009971.9258
MEM 79.714844 1705009972.0348
MEM 79.714844 1705009972.1448
MEM 79.714844 1705009972.2528
MEM 79.714844 1705009972.3628
MEM 79.714844 1705009972.4748
MEM 79.714844 1705009972.5868
MEM 79.714844 1705009972.6968
MEM 79.714844 1705009972.8082
MEM 86.382812 1705009972.9175
MEM 87.523438 1705009973.0293
MEM 98.386719 1705009973.1413
MEM 106.386719 1705009973.2517
MEM 106.386719 1705009973.3625
MEM 106.386719 1705009973.4718
MEM 106.761719 1705009973.5822
MEM 106.414062 1705009973.6911
MEM 106.414062 1705009973.7995
MEM 106.414062 1705009973.9089
MEM 106.414062 1705009974.0176
MEM 106.414062 1705009974.1261
MEM 106.414062 1705009974.2345
MEM 106.421875 1705009974.3440
MEM 106.421875 1705009974.4529
MEM 106.421875 1705009974.5624
MEM 106.421875 1705009974.6716
MEM 106.421875 1705009974.7795
MEM 106.429688 1705009974.8876
MEM 106.429688 1705009974.9970
MEM 106.429688 1705009975.1064
MEM 106.429688 1705009975.2156
MEM 106.777344 1705009975.3243
MEM 106.429688 1705009975.4332
MEM 106.777344 1705009975.5431
MEM 106.429688 1705009975.6535
MEM 106.429688 1705009975.7639
MEM 106.429688 1705009975.8734
MEM 106.777344 1705009975.9839
MEM 106.429688 1705009976.0947
MEM 106.429688 1705009976.2040
MEM 106.500000 1705009976.3136
MEM 106.500000 1705009976.4221
MEM 106.500000 1705009976.5313
MEM 106.500000 1705009976.6403
MEM 106.500000 1705009976.7488
MEM 106.500000 1705009976.8595
MEM 106.500000 1705009976.9686
MEM 106.847656 1705009977.0760
MEM 106.500000 1705009977.1854
MEM 106.500000 1705009977.2958
MEM 106.847656 1705009977.4047
MEM 106.500000 1705009977.5128
MEM 106.500000 1705009977.6215
MEM 106.500000 1705009977.7301
MEM 106.500000 1705009977.8396
MEM 106.500000 1705009977.9480
MEM 106.500000 1705009978.0560
MEM 106.500000 1705009978.1655
MEM 106.500000 1705009978.2757
MEM 106.503906 1705009978.3869
MEM 106.503906 1705009978.4963
MEM 106.503906 1705009978.6062
MEM 106.523438 1705009978.7143
MEM 106.523438 1705009978.8236
MEM 106.523438 1705009978.9321
MEM 106.523438 1705009979.0420
MEM 106.523438 1705009979.1510
MEM 106.523438 1705009979.2594
MEM 106.523438 1705009979.3664
MEM 106.523438 1705009979.4758
MEM 106.523438 1705009979.5846
MEM 106.707031 1705009979.6950
MEM 106.707031 1705009979.8022
MEM 106.707031 1705009979.9111
MEM 106.707031 1705009980.0197
MEM 106.707031 1705009980.1298
MEM 106.710938 1705009980.2374
MEM 106.710938 1705009980.3462
MEM 106.710938 1705009980.4544
MEM 107.058594 1705009980.5653
MEM 106.710938 1705009980.6741
MEM 102.746094 1705009980.7842
MEM 102.746094 1705009980.8922
MEM 102.746094 1705009981.0010
MEM 102.746094 1705009981.1097
MEM 102.746094 1705009981.2196
MEM 102.746094 1705009981.3288
MEM 102.746094 1705009981.4378
MEM 102.746094 1705009981.5462
MEM 102.746094 1705009981.6550
MEM 102.746094 1705009981.7647
